Model,Train_F1,Test_F1,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Overfit_Gap(Train-Test)
LogReg,0.9537174708928394,0.9498850235227105,0.9493989493513499,0.945177184662074,0.9612412202984565,0.9387940201413648,0.0038324473701288886
LinearSVC,0.9652374166724887,0.9480286738351255,0.9619623070421154,0.9431116649934803,0.9587624469604895,0.937532578553408,0.01720874283736329
MultinomialNB,0.9276281258324783,0.9252337433724399,0.9208436345173565,0.9181523407299708,0.9356186577982434,0.9150768332603574,0.0023943824600384245
